date,thermoscan,how long is the flu contagious,how contagious is the flu,baby has rsv,anas barbariae hepatis,tamiflu suspension,flu food,what to do if you have the flu,coughing remedies,treatment for rsv,having the flu,influenza b symptoms,z pack and alcohol,how long does the flu last in adults,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,cough headache,flu recovery time,flu how long,how to reduce fever,symptoms of rsv in adults,braun thermoscan,sinus infections,how long flu,treatment for the flu,upper respiratory,strep throat,generic tamiflu,intestinal flu,ear thermometer,cold versus flu,how long does flu last,cold or flu,the flu symptoms,expectorant,fight the flu,how long contagious,how to get rid of the flu,tamiflu pediatric dosing,influenza a contagious,how to get over flu,treat flu,can dogs get the flu from humans,rsv symptoms in adults,influenza a treatment,tylenol sinus,how long am i contagious,influenza contagious,flu in children,reduce fever,flu gestation,reduce a fever,is influenza contagious,how long does it take to get over the flu,over the counter flu,how to treat flu,medicine for the flu,contagious flu,flu care,flu or cold,can adults get rsv,is the flu contagious?,rsv in adults,influenza a symptoms,flu relief,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,painful cough,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,tamiflu in children,what is flu a,what to eat when you have the flu,flu remedy,type a flu,baby rsv,tamiflu side effects,flu shot symptoms,flu and fever,symptoms of flu,cold,how long does the flu last?,taking temperature,type b flu,flu and bronchitis,flu versus cold,get rid of the flu,medicine for flu,flu children,treatment for flu,cough and fever,positive flu test,influenza type b,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,flu recovery,dangerous fever,do i have the flu,how to cure the flu,rsv contagious,get over the flu fast,influenza treatment,flu treatment,body temperature,remedies for the flu,biaxin side effects,duration of the flu,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,rsv treatment,influenza symptoms,tamiflu drug interactions,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,getting over the flu,break a fever,influenza a and b,incubation period for flu,clarithromycin,over the counter flu medicine,the flu virus,cold with fever,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,type b flu symptoms,flu virus,how long are you contagious,is tamiflu an antibiotic,flu lasts,rsv baby,influenza b treatment,flu shot,chest cold,remedies for flu,rsv infection,flu treatments,flu like symptoms,tamiflu while pregnant,flu contagious,symptoms of influenza,flu while pregnant,flu or pneumonia,flu report,flu reports,symptoms of influenza b,type a and b flu,i have the flu,is the flu contagious,type a flu symptoms,tamiflu children,influenza treatment guidelines,breaking a fever,flu type b symptoms,flu complications,flu contagious period,incubation period for the flu,flu cough,what is influenza,rsv,flu type a symptoms,tussionex,tamiflu during pregnancy,pneumonia,how long am i contagious with the flu,fever and cold,is rsv contagious,signs of the flu,influenza a incubation,influenza a incubation period,tamiflu generic,recovering from flu,rapid flu,influenza incubation period,how to treat flu symptoms,cure the flu,incubation for flu,how long are you contagious with the flu,exposed to flu,robitussin cf,flu a symptoms,get rid of flu,fever reducer,type b influenza,exposure to flu,bronchitis,tamiflu and alcohol,flu length,cough fever,tamiflu drug,flu and cold,flu cures,sinus,how to break a fever,tamiflu and breastfeeding,what is influenza b,tamiflu contagious,the flu,what is influenza a,get rid of the flu fast,pregnant and have the flu,baby with rsv,incubation period flu,flu a,influenza incubation,when you have the flu,normal body temperature,how long does influenza last,gripe,flu duration,treat flu symptoms,flu or strep,when is the flu no longer contagious,rsv symptoms,flu germs,how long is the flu,flu symptoms in toddlers,oseltamivir,get over the flu,how long is flu contagious,treating flu,flu prophylaxis,home remedies for flu,flu a and b,flu vaccine,cold vs flu,respiratory flu,a influenza,human temperature,tamiflu and pregnancy,influenza a,influenza b,is influenza a contagious,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,flu type,what is type a flu,b flu,flu and strep,rsv infant,tamiflu wiki,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,how to break a fever in adults,incubation period for influenza,tamiflu in pregnancy,is flu contagious
12/09/2012,0,124.73574040000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.0159921000001,0,0.0,251.3131608,0,0,166.7911373,0,0,0,0,166.7911373,0,186.988765,750.956594,0,0,0,0,0.0,0,0,251.06815759999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,125.9600987,0.0,0,125.32639669999999,0,125.7702282,0,1087.1984710000002,0,125.8081565,0,0.0,124.50983799999999,251.3131608,0,0,0,0,0.0,0,0.0,0,0,125.2817953,10059.54839,0,0,124.9788614,0,0,0,0,0,0,0,0,0,209.3001059,0,124.6603486,0.0,0,0,0,0,0,0,0,0,0,124.9222501,167.0429015,0,0,0,125.666992,0,126.41813540000001,0,0.0,0,0,0,0.0,125.9600987,0,0,0,0,0,126.03620749999999,124.81122340000002,0,0,0,0.0,0,187.7612905,249.50634069999995,125.71677659999999,125.1302821,0,0,125.09898100000001,0,0,0,0.0,0,1051.346831,0,0,126.3033142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879.6610312999999,0,251.4868804,0,1631.447547,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1086.365305,0,0,125.32639669999999,0,0.0,0,1712.5954359999998,125.88408170000001,0,0,0,1336.850666,0,0,0,0,0,376.7094556,0,0,0.0,0,0.0,0,0,0,0,372.96663060000003,0,0,0,0.0,0,124.5850479,0,0,0,0,125.8461077,0.0,0,0,125.07304609999998,0,0.0,0.0,0,0.0,0,0,497.13900989999996,0.0,167.2836405,0,0,0,0,0,0,187.36464109999997,0,0,0,125.375155,0.0,0,0,0.0,126.22688259999998,0,0,0,0
12/16/2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424.8862589999999,0,273.0362012,137.5697084,0,0,413.09637010000006,0,0,0,0,413.09637010000006,0,276.4811069,1193.465634,0,0,0,0,275.31960360000005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,136.06578159999998,0.0,0,136.1888438,0,137.7959135,0,966.3285814999999,0,272.5420181,0,138.212593,139.3808965,137.5697084,0,0,0,0,342.5104748,0,138.0039387,0,0,368.162324,7717.773537,0,0,136.5181006,0,0,0,0,0,0,0,0,0,137.4856656,0,138.71014530000002,137.8374684,0,0,0,0,0,0,0,0,0,136.43563730000002,274.265033,0,0,0,136.14779840000003,0,272.21355530000005,0,184.031818,0,0,0,0.0,208.3066885,0,0,0,0,0,410.9203108,139.33880019999998,0,0,0,0.0,0,183.906528,412.8083024,136.60066369999998,274.5134243,0,0,136.43563730000002,0,0,0,0.0,0,462.92599989999997,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289.852661,0,0.0,0,1380.553241,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,873.403027,0,0,136.1888438,0,138.212593,0,1287.233744,0.0,0,0,0,1149.598419,0,0,0,0,0,460.9086831999999,0,0,136.06578159999998,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,137.049894,0,0,0,0,205.66754790000002,136.8075091,0,0,205.5641329,0,138.0270562,0.0,0,136.8075091,0,0,205.2341535,0.0,414.59940439999997,0,0,0,0,0,0,205.916652,0,0,0,276.5087992,138.9192314,0,0,342.5104748,0.0,0,0,0,0
12/23/2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653.3886380000001,0,160.05391569999998,636.1246106000001,0,0,319.812529,0,0,0,0,319.812529,0,239.20432769999996,1279.315213,0,0,0,0,398.04859710000005,0,0,161.22474230000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,160.6895968,0,239.47195319999997,0,320.01118039999994,0,1708.732188,0,159.7937466,0,161.0297321,160.7380996,636.1246106000001,0,0,0,0,318.84205289999994,0,160.7866316,0,0,640.9491606,10611.95305,0,0,159.46369430000001,0,0,0,0,0,0,0,0,0,160.7866316,0,320.95991499999997,321.1853582,0,0,0,0,0,0,0,0,0,160.5926791,266.5319651,0,0,0,0.0,0,322.7426206,0,480.9936311000001,0,0,0,0.0,213.65432489999998,0,0,0,0,0,0.0,159.85487659999998,0,0,0,213.30089159999997,0,213.3478074,372.61323450000003,159.5601344,239.9519597,0,0,159.8568789,0,0,0,0.0,0,429.72790430000003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.7706281999999,0,0.0,0,1976.5116030000002,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1014.0062130000001,0,0,239.47195319999997,0,161.0297321,0,1920.773625,160.29598149999998,0,0,0,1280.572985,0,0,0,0,0,428.4434017,0,0,160.7866316,0,160.2543858,0,0,0,0,160.3508955,0,0,0,160.2505311,0,0.0,0,0,0,0,159.6681274,0.0,0,0,160.5926791,0,160.93240369999998,0.0,0,0.0,0,0,160.15799219999997,322.840451,267.5184808,0,0,0,0,0,0,240.90806,0,0,0,159.5601344,0.0,0,0,318.84205289999994,0.0,0,0,0,0
12/30/2012,0,136.18586630000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915.6139627,0,136.1035539,204.7090457,0,0,685.430755,0,0,0,0,685.430755,0,319.92778280000005,1006.0755029999999,0,0,0,0,182.7862929,0,0,272.45411960000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,273.7706597,0,0.0,0,2107.847475,0,138.1601138,0,138.063283,137.7175235,204.7090457,0,0,0,0,344.4087619,0,228.6652429,0,0,320.965521,9240.633378,0,0,0.0,0,0,0,0,0,0,0,0,0,183.53349450000002,0,136.1035539,137.7175235,0,0,0,0,0,0,0,0,0,138.1601138,137.89664030000003,0,0,0,137.06101819999998,0,0.0,0,366.4565669,0,0,0,0.0,138.1468439,0,0,0,0,0,138.4105551,138.4523836,0,0,0,271.14187819999995,0,207.09490549999998,365.2436648,0.0,205.8605119,0,0,228.527684,0,0,0,135.6934799,0,967.9393273000001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.8376656,0,414.02815879999997,0,1190.963718,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,182.7311497,0,0,0,0,1190.601134,0,0,273.7706597,0,138.063283,0,1419.1825609999999,135.81624240000002,0,0,0,1418.372195,0,0,0,0,0,872.1906713999999,0,0,204.9979706,0,205.11677319999998,0,0,0,0,273.60567549999996,0,0,0,0.0,0,204.9767513,0,0,0,0,228.6652761,0.0,0,0,0.0,0,207.1990885,137.385474,0,0.0,0,0,410.1925855,137.3414485,274.83621380000005,0,0,0,0,0,0,138.578021,0,0,0,0.0,0.0,0,0,344.4087619,138.61995080000003,0,0,0,0
01/06/2013,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434.4409890000002,0,381.2654255,252.53107830000002,0,0,1263.836247,0,0,0,0,1263.836247,0,126.3800246,1265.0958369999998,0,0,0,0,378.8224499,0,0,127.63179170000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,254.4162992,0,125.96909529999999,0,126.083192,0,4772.705968,0,294.89883910000003,0,253.52432530000002,126.2654064,252.53107830000002,0,0,0,0,168.4936129,0,210.7473054,0,0,1056.507582,7927.530245999999,0,0,315.6362021,0,0,0,0,0,0,0,0,0,972.9573824999999,0,253.2812543,126.20831580000001,0,0,0,0,0,0,0,0,0,125.1111594,253.1793994,0,0,0,295.1532193,0,250.8276344,0,253.4222779,0,0,0,254.97085930000003,295.58648650000003,0,0,0,0,0,127.56298570000001,0.0,0,0,0,168.9017868,0,210.90003030000003,548.0157107000001,0.0,211.2957017,0,0,379.1017792,0,0,0,125.07342990000001,0,3568.164608,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.890798,0,125.56569590000001,0,2533.994332,0,0,0,318.2708929,0,0,0,0,0,0,0,0,0,0.0,0,0,125.90423340000001,0,0,0,0,1519.433147,0,0,125.96909529999999,0,253.52432530000002,0,1898.787348,127.0704675,0,0,0,4471.714857,0,0,0,0,0,1227.520313,0,0,250.9035049,0,126.90962590000001,0,0,0,0,380.82006129999996,0,0,0,126.1324818,0,380.93476610000005,0,0,0,0,632.3057507,381.85489839999997,0,0,126.0180709,0,252.68053769999997,189.06502930000002,0,381.85489839999997,0,0,376.0140467,211.8335509,295.4728397,0,0,0,0,0,0,252.3756438,0,0,0,548.9826691000001,252.0931406,0,0,168.4936129,125.14891180000001,0,0,0,0
01/13/2013,0,181.6089416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.574016,0,487.3575077,283.4831067,0,0,932.4080361,0,0,0,0,932.4080361,0,182.521456,973.0577954,0,0,0,0,283.6178181,0,0,122.6484682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,122.42627890000001,0,161.95030730000002,0,182.6128899,0,4550.773413,0,162.1334271,0,203.323059,122.3893256,283.4831067,0,0,0,0,424.2988235,0,182.5392895,0,0,1504.77456,10020.38363,0,0,162.43955390000002,0,0,0,0,0,0,0,0,0,528.7445303999999,0,121.71426409999998,182.15622,0,0,0,0,0,0,0,0,0,242.24996409999997,365.6737673,0,0,0,202.7219073,0,0.0,0,242.3230631,0,0,0,121.8984006,183.0547407,0,0,0,0,0,121.8886664,0.0,0,0,0,182.59717659999998,0,162.3292481,405.3110292,0.0,122.3893256,0,0,243.2494628,0,0,0,0.0,0,1798.60345,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912.8951920000002,0,243.8805662,0,1585.5180189999999,0,0,0,121.34582079999998,0,0,0,0,0,0,0,0,0,0.0,0,0,364.4527235,0,0,0,0,1258.6829480000001,0,0,161.95030730000002,0,203.323059,0,1664.272247,121.86464690000001,0,0,0,3653.6671469999997,0,0,0,0,0,1344.38025,0,0,304.7865913,0,120.9790044,0,0,0,0,283.87526760000003,0,0,0,0.0,0,424.2257677,0,0,0,0,648.9987394,245.5940859,0,0,122.31548590000001,0,427.5001313,242.914811,0,245.5940859,0,0,242.84690989999999,0.0,284.6983541,0,0,0,0,0,0,121.73582009999998,0,0,0,650.1388423,362.71844219999997,0,0,424.2988235,243.54485290000002,0,0,0,0
01/20/2013,0,121.96493490000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545.329588,0,243.6429349,446.3149414,0,0,730.9156059999999,0,0,0,0,730.9156059999999,0,182.8083408,1137.338549,0,0,0,0,284.1113828,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,120.9781376,121.2703554,0,304.78990710000005,0,121.0145878,0,3338.024243,0,244.34590469999998,0,244.9247077,0.0,446.3149414,0,0,0,0,244.2906063,0,121.3671274,0,0,976.9171587000001,8128.432759,0,0,183.3232686,0,0,0,0,0,0,0,0,0,243.57029530000003,0,244.0962951,0.0,0,0,0,0,0,0,0,0,0,245.928197,447.09895750000004,0,0,0,486.8842933,0,0.0,0,183.49916159999998,0,0,0,0.0,242.9540232,0,0,0,0,0,122.3150894,122.31407220000001,0,0,0,122.1488139,0,244.78882830000003,426.29660650000005,121.9052202,306.4858824,0,0,202.9295643,0,0,0,121.0145878,0,737.0760937000001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.910172,0,123.41083459999999,0,1505.922718,0,0,0,486.4434081,0,0,0,0,0,0,0,0,0,122.74194109999999,0,0,202.8806963,0,0,0,0,813.6547153,0,0,304.78990710000005,0,244.9247077,0,2074.038606,123.29884650000001,0,0,0,3131.626785,0,0,0,0,0,897.1542919,0,0,122.1299199,0,244.12511009999997,0,0,0,0,203.0891002,0,0,0,0.0,0,183.16735880000002,0,0,0,0,365.6966685,0.0,0,0,121.1606084,0,428.0249727,242.9284008,0,0.0,0,0,162.290281,163.3229137,366.70764280000003,0,0,0,0,0,0,369.33795219999996,0,0,0,407.03641580000004,0.0,0,0,244.2906063,121.233751,0,0,0,0
01/27/2013,0,116.54296409999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.992837,0,194.98739369999998,174.9056034,0,0,428.45933160000004,0,0,0,0,428.45933160000004,0,194.76398590000002,1363.853101,0,0,0,0,347.94401780000004,0,0,235.31594339999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,117.249352,0,408.2536458,0,175.77295930000002,0,3045.703834,0,0.0,0,235.6723747,0.0,174.9056034,0,0,0,0,351.9094582,0,175.89674309999998,0,0,624.8865548,8186.251638,0,0,156.09108319999999,0,0,0,0,0,0,0,0,0,116.4372683,0,293.6689497,117.4359665,0,0,0,0,0,0,0,0,0,116.81493190000002,351.11359550000003,0,0,0,117.39104309999999,0,0.0,0,195.1407006,0,0,0,0.0,175.45199580000002,0,0,0,0,0,117.39104309999999,0.0,0,0,0,156.13897659999998,0,233.7710939,311.64210380000003,117.09769140000002,234.31982169999998,0,0,389.59862880000003,0,0,0,117.533077,0,314.18717610000004,0,0,117.63982820000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.2746550000002,0,116.85951159999999,0,1952.1055620000002,0,0,0,117.28474270000001,0,0,0,0,0,0,0,0,0,0.0,0,0,272.55680639999997,0,0,0,0,819.0452661,0,0,408.2536458,0,235.6723747,0,1755.485002,117.3031527,0,0,0,2612.9401620000003,0,0,0,0,0,860.7792681,0,0,175.7908345,0,155.63265900000002,0,0,0,0,389.5756611,0,0,0,0.0,0,155.78528280000003,0,0,0,0,155.8909866,117.027098,0,0,117.3385383,0,175.45182480000003,116.0512496,0,117.027098,0,0,389.6463986,234.69244080000004,389.9759095,0,0,0,0,0,0,194.96396289999998,0,0,0,546.6315057,0.0,0,0,351.9094582,235.13727839999999,0,0,0,0
02/03/2013,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.9183050000001,0,157.1021599,118.7539582,0,0,235.31559700000003,0,0,0,0,235.31559700000003,0,118.9330743,1099.063185,0,0,0,0,117.7915527,0,0,117.19874469999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,119.0408035,117.80010829999999,0,235.13835319999995,0,0.0,0,1651.81989,0,234.2357288,0,236.72570330000002,119.00487209999999,118.7539582,0,0,0,0,175.6193656,0,117.44475359999998,0,0,393.7132438,7381.80277,0,0,314.5005544,0,0,0,0,0,0,0,0,0,0.0,0,314.4648668,0.0,0,0,0,0,0,0,0,0,0,0.0,549.8393518999999,0,0,0,234.1827304,0,118.5957793,0,157.2447043,0,0,0,0.0,117.4277815,0,0,0,0,0,234.9660703,0.0,0,0,0,176.7588733,0,275.1094668,431.3489239,117.8714375,116.95111680000001,0,0,176.9915935,0,0,0,0.0,0,237.30647090000002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.3624146,0,235.75403849999998,0,1652.537059,0,0,0,119.00487209999999,0,0,0,0,0,0,0,0,0,0.0,0,0,196.126096,0,0,0,0,1021.892608,0,0,235.13835319999995,0,236.72570330000002,0,2396.726441,118.96896229999999,0,0,0,1728.7904460000002,0,0,0,0,0,315.33554419999996,0,0,0.0,0,117.684922,0,0,0,0,176.6337248,0,0,0,118.7181997,0,117.0217608,0,0,0,0,117.30321119999999,117.4456729,0,0,117.6755064,0,234.76657889999998,236.19033969999998,0,117.4456729,0,0,117.6522761,118.7214403,235.24754559999997,0,0,0,0,0,0,235.1732758,0,0,0,472.04208660000006,117.2325679,0,0,175.6193656,0.0,0,0,0,0
02/10/2013,0,118.4422355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417.693576,0,119.0503654,196.4816017,0,0,432.73383210000003,0,0,0,0,432.73383210000003,0,118.58476529999999,826.0768112000001,0,0,0,0,235.6480102,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,117.4210949,0.0,0,177.159522,0,117.45647340000002,0,1261.461119,0,118.15979509999998,0,177.6953966,117.6691926,196.4816017,0,0,0,0,0.0,0,0.0,0,0,315.70373789999996,7084.915748,0,0,117.8115314,0,0,0,0,0,0,0,0,0,0.0,0,117.7759388,0.0,0,0,0,0,0,0,0,0,0,118.0668591,236.2288662,0,0,0,0.0,0,118.13283559999999,0,177.4983241,0,0,0,0.0,235.4628632,0,0,0,0,0,0.0,0.0,0,0,0,117.91843840000001,0,296.0331129,314.253908,119.3387102,294.4398865,0,0,275.16942850000004,0,0,0,0.0,0,118.9642973,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.1594412000001,0,177.695169,0,1340.449648,0,0,0,118.87085640000001,0,0,0,0,0,0,0,0,0,118.6918879,0,0,196.60037859999997,0,0,0,0,393.8652968,0,0,177.159522,0,177.6953966,0,1418.109382,0.0,0,0,0,1575.263157,0,0,0,0,0,473.7456321,0,0,119.23041740000001,0,117.3858289,0,0,0,0,157.3281746,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,119.15833130000001,118.08856090000002,0,0.0,0,0,234.91294680000004,118.1686442,236.37270619999998,0,0,0,0,0,0,117.4918732,0,0,0,275.9890646,0.0,0,0,0.0,176.6462755,0,0,0,0
