date,thermoscan,how long is the flu contagious,how contagious is the flu,baby has rsv,anas barbariae hepatis,tamiflu suspension,flu food,what to do if you have the flu,coughing remedies,treatment for rsv,having the flu,influenza b symptoms,z pack and alcohol,how long does the flu last in adults,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,cough headache,flu recovery time,flu how long,how to reduce fever,symptoms of rsv in adults,braun thermoscan,sinus infections,how long flu,treatment for the flu,upper respiratory,strep throat,generic tamiflu,intestinal flu,ear thermometer,cold versus flu,how long does flu last,cold or flu,the flu symptoms,expectorant,fight the flu,how long contagious,how to get rid of the flu,tamiflu pediatric dosing,influenza a contagious,how to get over flu,treat flu,can dogs get the flu from humans,rsv symptoms in adults,influenza a treatment,tylenol sinus,how long am i contagious,influenza contagious,flu in children,reduce fever,flu gestation,reduce a fever,is influenza contagious,how long does it take to get over the flu,over the counter flu,how to treat flu,medicine for the flu,contagious flu,flu care,flu or cold,can adults get rsv,is the flu contagious?,rsv in adults,influenza a symptoms,flu relief,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,painful cough,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,tamiflu in children,what is flu a,what to eat when you have the flu,flu remedy,type a flu,baby rsv,tamiflu side effects,flu shot symptoms,flu and fever,symptoms of flu,cold,how long does the flu last?,taking temperature,type b flu,flu and bronchitis,flu versus cold,get rid of the flu,medicine for flu,flu children,treatment for flu,cough and fever,positive flu test,influenza type b,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,flu recovery,dangerous fever,do i have the flu,how to cure the flu,rsv contagious,get over the flu fast,influenza treatment,flu treatment,body temperature,remedies for the flu,biaxin side effects,duration of the flu,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,rsv treatment,influenza symptoms,tamiflu drug interactions,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,getting over the flu,break a fever,influenza a and b,incubation period for flu,clarithromycin,over the counter flu medicine,the flu virus,cold with fever,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,type b flu symptoms,flu virus,how long are you contagious,is tamiflu an antibiotic,flu lasts,rsv baby,influenza b treatment,flu shot,chest cold,remedies for flu,rsv infection,flu treatments,flu like symptoms,tamiflu while pregnant,flu contagious,symptoms of influenza,flu while pregnant,flu or pneumonia,flu report,flu reports,symptoms of influenza b,type a and b flu,i have the flu,is the flu contagious,type a flu symptoms,tamiflu children,influenza treatment guidelines,breaking a fever,flu type b symptoms,flu complications,flu contagious period,incubation period for the flu,flu cough,what is influenza,rsv,flu type a symptoms,tussionex,tamiflu during pregnancy,pneumonia,how long am i contagious with the flu,fever and cold,is rsv contagious,signs of the flu,influenza a incubation,influenza a incubation period,tamiflu generic,recovering from flu,rapid flu,influenza incubation period,how to treat flu symptoms,cure the flu,incubation for flu,how long are you contagious with the flu,exposed to flu,robitussin cf,flu a symptoms,get rid of flu,fever reducer,type b influenza,exposure to flu,bronchitis,tamiflu and alcohol,flu length,cough fever,tamiflu drug,flu and cold,flu cures,sinus,how to break a fever,tamiflu and breastfeeding,what is influenza b,tamiflu contagious,the flu,what is influenza a,get rid of the flu fast,pregnant and have the flu,baby with rsv,incubation period flu,flu a,influenza incubation,when you have the flu,normal body temperature,how long does influenza last,gripe,flu duration,treat flu symptoms,flu or strep,when is the flu no longer contagious,rsv symptoms,flu germs,how long is the flu,flu symptoms in toddlers,oseltamivir,get over the flu,how long is flu contagious,treating flu,flu prophylaxis,home remedies for flu,flu a and b,flu vaccine,cold vs flu,respiratory flu,a influenza,human temperature,tamiflu and pregnancy,influenza a,influenza b,is influenza a contagious,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,flu type,what is type a flu,b flu,flu and strep,rsv infant,tamiflu wiki,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,how to break a fever in adults,incubation period for influenza,tamiflu in pregnancy,is flu contagious
12/16/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291.161775,0,0,167.7572927,0,0,168.04543969999997,0,0,0,0,168.04543969999997,0,167.6728824,614.5940117,0,0,0,0,0,0,0,168.81675080000002,0,168.0272635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,167.2859695,0,252.15593739999997,0,167.5967562,0,447.81814929999996,0,0,0,0.0,0,167.7572927,0,0,0,0,0,0,0,0,0,0.0,8995.048139,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,505.14943719999997,0,0,0,0,0,0,0,0,0,0,0,167.8752026,0,0,0,0,0,167.89299450000001,0,167.7408256,0,167.7190387,0,0,337.02018,0,0,0,0,0,0,0.0,0,0,0,0.0,0,337.2765434,391.56158880000004,0,167.7234167,0,0,0,0,0,0,0,0,279.60736760000003,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.53836230000002,336.10436430000004,0,0,0,951.0672229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.3048575,0,0,252.15593739999997,0,0,0,1898.0830230000001,0,0,0,0,558.7285856000001,0,0,0,0,0,0,0,0,0.0,0,167.3536045,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,280.53839339999996,0,0,335.58303589999997,0.0,0,335.58303589999997,167.3868353,0,0,0,0,0,0.0,446.4867592,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,167.7445534,0,0,0,0
12/23/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557.810716,0,0,0.0,0,0,193.84430840000002,0,0,0,0,193.84430840000002,0,192.7924344,1420.3316,0,0,0,0,0,0,0,0.0,0,323.36480530000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,193.0833101,0,193.75643689999998,0,0.0,0,840.4171322999999,0,0,0,194.37305619999998,0,0.0,0,0,0,0,0,0,0,0,0,486.6297529,10079.06541,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,194.93118330000001,0,0,0,0,0,0,0,0,0,0,0,292.205228,0,0,0,0,0,193.5809592,0,193.4348248,0,291.6469259,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,193.9024514,646.6320059999999,0,0.0,0,0,0,0,0,0,0,0,193.6701748,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,454.19906299999997,0,0,0,902.060639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.0927149,0,0,193.75643689999998,0,0,0,1161.6211230000001,0,0,0,0,646.0116075,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,193.2888494,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,387.4541158,193.6091043,0,387.4541158,193.4950134,0,0,0,0,0,194.3151557,581.8884491,0,0,0,0,0,0,0,0,0,0,193.40569309999998,0,0,0,0,0.0,0,0,0,0
12/30/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.4829710000001,0,0,173.9346039,0,0,290.31268880000005,0,0,0,0,290.31268880000005,0,173.9394865,752.0006298,0,0,0,0,0,0,0,0.0,0,349.4397412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.8189965,0,173.6246639,0,0.0,0,1390.062916,0,0,0,348.7930948,0,173.9346039,0,0,0,0,0,0,0,0,0,348.61645120000003,11110.1075,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,261.2649269,0,0,0,0,0,0,0,0,0,0,0,289.9795759,0,0,0,0,0,348.28895950000003,0,173.7294781,0,173.8056407,0,0,174.25545290000002,0,0,0,0,0,0,0.0,0,0,0,0.0,0,173.55105880000002,637.0136035,0,173.43023019999998,0,0,0,0,0,0,0,0,810.8723651,0,0,173.1319799,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0797373,639.4690182,0,0,0,1214.8141779999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.9860748,0,0,173.6246639,0,0,0,1329.4117039999999,0,0,0,0,1273.73701,0,0,0,0,0,0,0,0,175.08992780000003,0,172.9753466,0,0,0,0,174.6144271,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,289.9102662,0.0,0,289.9102662,346.3091221,0,0,0,0,0,173.6561457,0.0,0,0,0,0,0,0,0,0,0,0,174.8254415,0,0,0,0,0.0,0,0,0,0
01/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038.692477,0,0,206.79924450000001,0,0,518.6473622999999,0,0,0,0,518.6473622999999,0,155.2125092,775.1586012,0,0,0,0,0,0,0,156.1690953,0,155.3532846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,155.4788796,0,0.0,0,1915.1061100000002,0,0,0,155.5338306,0,206.79924450000001,0,0,0,0,0,0,0,0,0,363.09094869999996,11008.89255,0,0,0,0,0,0,0,0,0,0,0,0,568.5454583,0,155.4865001,0,0,0,0,0,0,0,0,0,0,0,311.09693030000005,0,0,0,0,0,155.4781167,0,310.89430730000004,0,387.8483645,0,0,155.4941786,0,0,0,0,0,0,0.0,0,0,0,156.35879350000002,0,233.51083509999998,672.5610816000001,0,155.11859819999998,0,0,0,0,0,0,0,0,1759.2516859999998,0,0,155.46180769999998,0,0,0,0,155.181603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,726.7795712999999,0,0,0,1498.4396199999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.3359602,0,0,155.4788796,0,0,0,1910.024971,0,0,0,0,2171.735636,0,0,0,0,0,0,0,0,0.0,0,155.1658862,0,0,0,0,155.2436748,0,0,0,0.0,0,0,0,0,0,0,466.8127506,0,0,465.98993260000003,155.4788796,0,465.98993260000003,0.0,0,0,0,0,0,0.0,309.84895439999997,0,0,0,0,0,0,0,0,0,0,155.24401719999997,0,0,0,0,0.0,0,0,0,0
01/13/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608.474645,0,0,308.7829347,0,0,207.2879509,0,0,0,0,207.2879509,0,0.0,826.0763923,0,0,0,0,0,0,0,155.3044335,0,153.7257834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,154.8354756,0,155.22111809999998,0,312.443568,0,1964.735082,0,0,0,311.7073131,0,308.7829347,0,0,0,0,0,0,0,0,0,518.1261774000001,12134.119490000001,0,0,0,0,0,0,0,0,0,0,0,0,1084.762183,0,155.91038999999998,0,0,0,0,0,0,0,0,0,0,0,620.972399,0,0,0,0,0,155.08054030000002,0,155.9475514,0,206.83437949999998,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,156.2069745,413.5596612,0,0.0,0,0,0,0,0,0,0,0,1085.7601789999999,0,0,0.0,0,0,0,0,153.8186691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.221784,726.3877054,0,0,0,877.0150639000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.0258371,0,0,155.22111809999998,0,0,0,1444.369884,0,0,0,0,2375.794182,0,0,0,0,0,0,0,0,309.9039986,0,154.5672023,0,0,0,0,258.5001169,0,0,0,0.0,0,0,0,0,0,0,414.6546525,0,0,206.91316319999999,155.5978122,0,206.91316319999999,154.93519840000002,0,0,0,0,0,156.74205030000002,413.2179935,0,0,0,0,0,0,0,0,0,0,307.6373382,0,0,0,0,156.03345149999998,0,0,0,0
01/20/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541.5794,0,0,384.0974612,0,0,308.0112091,0,0,0,0,308.0112091,0,0.0,1125.187909,0,0,0,0,0,0,0,0.0,0,153.61835190000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.8337624,0,308.5053486,0,153.8337624,0,1382.736905,0,0,0,614.3915038,0,384.0974612,0,0,0,0,0,0,0,0,0,359.39836339999994,10636.16812,0,0,0,0,0,0,0,0,0,0,0,0,229.95403199999998,0,385.6550184,0,0,0,0,0,0,0,0,0,0,0,307.6856435,0,0,0,0,0,0.0,0,0.0,0,307.7277343,0,0,256.54704530000004,0,0,0,0,0,0,230.7189238,0,0,0,0.0,0,153.8590428,409.66956949999997,0,153.64830880000002,0,0,0,0,0,0,0,0,768.0765849,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,924.3150456000001,0,0,0,970.6814333999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.2408839,0,0,308.5053486,0,0,0,1379.436138,0,0,0,0,1534.601188,0,0,0,0,0,0,0,0,0.0,0,459.318043,0,0,0,0,153.61838930000002,0,0,0,0.0,0,0,0,0,0,0,384.9738826,0,0,153.7938887,308.2571606,0,153.7938887,229.70025389999998,0,0,0,0,0,154.0500073,204.69654069999999,0,0,0,0,0,0,0,0,0,0,153.73151719999998,0,0,0,0,153.8337624,0,0,0,0
01/27/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723.719441,0,0,226.9262431,0,0,306.21213839999996,0,0,0,0,306.21213839999996,0,151.4974914,958.128436,0,0,0,0,0,0,0,153.6642147,0,228.94339010000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,252.8849495,0,0.0,0,1262.974886,0,0,0,150.835983,0,226.9262431,0,0,0,0,0,0,0,0,0,304.2149062,7619.086748999999,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,303.7521175,0,0,0,0,0,0,0,0,0,0,0,505.8611822,0,0,0,0,0,0.0,0,252.6098621,0,149.40286519999998,0,0,151.9097512,0,0,0,0,0,0,154.1651327,0,0,0,226.2538293,0,229.6127852,555.8728883,0,151.4058282,0,0,0,0,0,0,0,0,305.56503439999994,0,0,0.0,0,0,0,0,225.821074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.6740138,962.2791533,0,0,0,1311.319518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.7783249,0,0,252.8849495,0,0,0,1461.099676,0,0,0,0,1412.412122,0,0,0,0,0,0,0,0,229.635927,0,151.1098464,0,0,0,0,505.3113214,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,151.59399580000002,0.0,0,151.59399580000002,298.8959768,0,0,0,0,0,0.0,228.82890530000003,0,0,0,0,0,0,0,0,0,0,153.7000795,0,0,0,0,228.9435708,0,0,0,0
02/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656.319878,0,0,601.5668256,0,0,250.61213340000003,0,0,0,0,250.61213340000003,0,150.25576930000003,948.5461252,0,0,0,0,0,0,0,0.0,0,150.32252419999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,149.75603040000001,0,200.34758459999998,0,0.0,0,1000.800648,0,0,0,301.1913727,0,601.5668256,0,0,0,0,0,0,0,0,0,150.14906269999997,8043.253023,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,225.1431831,0,0,0,0,0,0,0,0,0,0,0,651.0196516,0,0,0,0,0,150.390804,0,300.7834128,0,350.1429058,0,0,150.45128169999998,0,0,0,0,0,0,150.2016845,0,0,0,0.0,0,149.92204569999998,199.98470880000002,0,150.0725438,0,0,0,0,0,0,0,0,300.19194219999997,0,0,0.0,0,0,0,0,150.14346740000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1755.078065,0,0,0,1298.470593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.4032217,0,0,200.34758459999998,0,0,0,1347.912678,0,0,0,0,1149.2886859999999,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,375.4436369,0,0,0,0.0,0,0,0,0,0,0,149.8767247,0,0,0.0,150.89261230000002,0,0.0,301.2376312,0,0,0,0,0,150.4814608,149.7487411,0,0,0,0,0,0,0,0,0,0,149.8463265,0,0,0,0,150.1412489,0,0,0,0
02/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474.83871,0,0,227.286463,0,0,153.4300261,0,0,0,0,153.4300261,0,151.420881,961.8400634999999,0,0,0,0,0,0,0,0.0,0,687.9791282000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3929979,0.0,0,153.013474,0,0.0,0,557.612541,0,0,0,152.73702690000002,0,227.286463,0,0,0,0,0,0,0,0,0,355.56185939999995,7287.772642,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,151.80996530000002,0,0,0,0,0,0,0,0,0,0,0,153.1461229,0,0,0,0,0,0.0,0,152.98423469999997,0,153.10584550000002,0,0,153.1002886,0,0,0,0,0,0,0.0,0,0,0,0.0,0,227.96774190000002,303.91135039999995,0,0.0,0,0,0,0,0,0,0,0,151.6768889,0,0,0.0,0,0,0,0,153.38363049999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1473.90256,0,0,0,1414.750177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.6941513999999,0,0,153.013474,0,0,0,1668.166939,0,0,0,0,759.8344626,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,253.31811409999997,0,0,0,0.0,0,0,0,0,0,0,304.0107752,0,0,304.3252079,0.0,0,304.3252079,228.7741699,0,0,0,0,0,153.1868869,303.6528957,0,0,0,0,0,0,0,0,0,0,202.6636642,0,0,0,0,152.8690185,0,0,0,0
02/17/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721.008301,0,0,151.9071227,0,0,404.3345329,0,0,0,0,404.3345329,0,150.7172456,1309.504751,0,0,0,0,0,0,0,152.19324790000002,0,252.2514606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5521636,0.0,0,151.5547369,0,0.0,0,606.7235506,0,0,0,151.39503059999998,0,151.9071227,0,0,0,0,0,0,0,0,0,151.7530531,7355.39342,0,0,0,0,0,0,0,0,0,0,0,0,151.34916809999999,0,151.8297496,0,0,0,0,0,0,0,0,0,0,0,353.3656972,0,0,0,0,0,0.0,0,0.0,0,302.0715809,0,0,0.0,0,0,0,0,0,0,301.7072003,0,0,0,0.0,0,303.04722189999995,504.1985455,0,150.9829235,0,0,0,0,0,0,0,0,252.29729619999998,0,0,0.0,0,0,0,0,151.1270508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.4860531,1314.549051,0,0,0,1360.553911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.9782197000001,0,0,151.5547369,0,0,0,2013.2732010000002,0,0,0,0,1007.384621,0,0,0,0,0,0,0,0,151.7452116,0,151.01465019999998,0,0,0,0,201.7555352,0,0,0,0.0,0,0,0,0,0,0,227.606563,0,0,151.9989372,152.6911,0,151.9989372,453.2442205,0,0,0,0,0,0.0,452.06256799999994,0,0,0,0,0,0,0,0,0,0,151.63234350000002,0,0,0,0,227.3208327,0,0,0,0
