date,groundtruth
06/16/2013,1.2997778441
06/23/2013,1.0607688841
06/30/2013,1.1888136928
07/07/2013,1.0125599774
07/14/2013,0.9322352744
07/21/2013,1.0476418101
07/28/2013,1.5221987315
08/04/2013,1.1177867822
08/11/2013,1.2206540209
08/18/2013,1.3063314406
08/25/2013,1.570828369
09/01/2013,1.6711273582
09/08/2013,1.8221330659
09/15/2013,1.8815871048
09/22/2013,1.9949807808
09/29/2013,2.0269351109
10/06/2013,2.2388752981
10/13/2013,2.3002696644
10/20/2013,2.6284693201
10/27/2013,2.6553473973
11/03/2013,3.0209065917
11/10/2013,3.0419703739
11/17/2013,2.8394705637
11/24/2013,3.9401103231
12/01/2013,4.1914852735000006
12/08/2013,5.1817872919
12/15/2013,4.1906152115
12/22/2013,8.6663429404
12/29/2013,8.0128840436
01/05/2014,7.075129941699999
01/12/2014,6.038967035
01/19/2014,4.9033474776
01/26/2014,4.2665789631
02/02/2014,3.6176308859
02/09/2014,2.9620647843
02/16/2014,2.7631776543
02/23/2014,2.7004851598000004
03/02/2014,2.8295220966000003
03/09/2014,2.1332379931
03/16/2014,2.4119133904
03/23/2014,2.2245086213
03/30/2014,2.2716380715
04/06/2014,2.211339579
04/13/2014,2.1740482707
04/20/2014,1.9577922078
04/27/2014,1.6636919939
05/04/2014,1.7519862635
05/11/2014,1.7967236216
05/18/2014,1.7632017127
05/25/2014,1.8009540189
06/01/2014,1.4505012531
06/08/2014,1.4483052394999998
06/15/2014,1.2544032993
06/22/2014,1.0587834473
06/29/2014,1.3203071353
07/06/2014,1.1868379669
07/13/2014,1.1217847437
07/20/2014,0.9554759326
07/27/2014,1.1937132913
08/03/2014,1.0705057217
08/10/2014,1.1456747154
08/17/2014,1.2195718057
08/24/2014,1.5288132178
08/31/2014,1.6231360563
09/07/2014,1.5974232301
09/14/2014,1.6712639948
09/21/2014,1.5003261579
09/28/2014,1.7934972106
10/05/2014,2.0719962215
10/12/2014,2.6344963819
10/19/2014,2.518165058
10/26/2014,2.544679594
11/02/2014,3.0509275163
11/09/2014,3.312730759
11/16/2014,4.395410859
11/23/2014,5.9011815252
11/30/2014,5.4893442142
12/07/2014,5.6159568381
12/14/2014,6.9654977989
12/21/2014,7.2839765101
12/28/2014,6.6198765929
01/04/2015,4.7770915216
01/11/2015,4.7987506211
01/18/2015,5.4074754902
01/25/2015,4.5005990633
02/01/2015,4.4046642981
02/08/2015,3.8091078366
02/15/2015,3.8293263104
02/22/2015,3.4336995343
03/01/2015,3.2097747298000003
03/08/2015,3.4569260891000004
03/15/2015,3.1050228311000003
03/22/2015,2.8005913272000003
03/29/2015,2.6800832084
04/05/2015,2.3366517411000003
04/12/2015,1.7775968519
04/19/2015,1.9368723099
04/26/2015,1.7769706444
05/03/2015,1.8632351377
05/10/2015,1.7650241197
05/17/2015,1.5676416819
05/24/2015,1.4942476051
05/31/2015,1.2503364408
06/07/2015,1.2494602763
