date,groundtruth
06/16/2013,1.5658900104
06/23/2013,1.4539274924
06/30/2013,1.8646498892
07/07/2013,1.2617449664
07/14/2013,1.6179135387
07/21/2013,1.1767156097
07/28/2013,1.2007614585
08/04/2013,0.9638014121
08/11/2013,1.1379153391
08/18/2013,1.103565365
08/25/2013,1.3688016529
09/01/2013,1.2091761781
09/08/2013,1.7121771218
09/15/2013,1.775
09/22/2013,1.1876090026
09/29/2013,1.1004958278
10/06/2013,1.1483993812
10/13/2013,1.2730594684
10/20/2013,1.0744130521
10/27/2013,1.1502804166
11/03/2013,1.3507109005000002
11/10/2013,1.4786996831
11/17/2013,1.4710960702000002
11/24/2013,2.4187073464
12/01/2013,2.1427577571
12/08/2013,1.8810005878
12/15/2013,2.449168207
12/22/2013,3.3563218391000005
12/29/2013,3.563174114
01/05/2014,3.1522220582
01/12/2014,2.4476130001
01/19/2014,2.5653047555
01/26/2014,2.4002751032
02/02/2014,2.3398542386
02/09/2014,2.3835716905
02/16/2014,2.5391680173
02/23/2014,1.9093703001
03/02/2014,2.2521527931
03/09/2014,2.0962018662
03/16/2014,2.0266320234
03/23/2014,1.7155756208
03/30/2014,1.6593591906
04/06/2014,1.389095231
04/13/2014,1.1560232799
04/20/2014,0.9556422712
04/27/2014,1.089840109
05/04/2014,1.1358024691
05/11/2014,1.0884776862
05/18/2014,1.1532125206
05/25/2014,0.9905530588
06/01/2014,1.01219415
06/08/2014,1.0941350419
06/15/2014,0.9853890588
06/22/2014,0.9447827
06/29/2014,1.3870246085
07/06/2014,0.4638065264
07/13/2014,0.4720161834
07/20/2014,0.5441074322999999
07/27/2014,0.5116227338
08/03/2014,0.9286209286
08/10/2014,0.8043267231
08/17/2014,0.5227591483
08/24/2014,0.7071167883
08/31/2014,0.4117344313
09/07/2014,0.4950910464
09/14/2014,0.6660088801
09/21/2014,0.7865345289
09/28/2014,0.3209565765
10/05/2014,0.2701872889
10/12/2014,0.3941872095
10/19/2014,0.4436557232
10/26/2014,0.4941814124
11/02/2014,0.65030876
11/09/2014,0.5494798613
11/16/2014,0.5635183143
11/23/2014,0.8979967764
11/30/2014,0.9362880886
12/07/2014,2.03819522
12/14/2014,2.8855721393
12/21/2014,4.9317756176
12/28/2014,4.0917266187
01/04/2015,2.3510312068
01/11/2015,2.0938215103
01/18/2015,1.8961871632
01/25/2015,1.2558327093
02/01/2015,1.2271475081
02/08/2015,1.1323504681
02/15/2015,1.3042957999
02/22/2015,0.802957657
03/01/2015,0.9674168626
03/08/2015,0.8918555081999999
03/15/2015,1.0895040223
03/22/2015,0.9701101206
03/29/2015,0.6618407446
04/05/2015,1.1731995117
04/12/2015,0.7474701012
04/19/2015,0.6108557799000001
04/26/2015,0.6461742859
05/03/2015,0.4422876098
05/10/2015,0.3731343284000001
05/17/2015,0.3943332847
05/24/2015,0.3743362061
05/31/2015,0.3181336161
06/07/2015,0.1576913979
06/14/2015,0.1327690648
06/21/2015,0.1118672509
06/28/2015,0.1336623483
07/05/2015,0.3361779157
07/12/2015,0.243902439
07/19/2015,0.0953743443
07/26/2015,0.33247838890000003
08/02/2015,0.2409638554
08/09/2015,0.2844372206
08/16/2015,0.268923515
08/23/2015,0.1432575522
08/30/2015,0.2235729756
09/06/2015,0.18154922
09/13/2015,0.2986473034
09/20/2015,0.2083333333
09/27/2015,0.2816405562
10/04/2015,0.6615570795
10/11/2015,0.6642721971
10/18/2015,0.6291750816
10/25/2015,0.6985953376999999
11/01/2015,0.8040239302
11/08/2015,0.7918093765
11/15/2015,0.7545829819
11/22/2015,0.7332581274
11/29/2015,0.6335204490999999
12/06/2015,0.7089765579999999
12/13/2015,0.9052532833
12/20/2015,0.8741846547
12/27/2015,0.9110363803
01/03/2016,0.9257693608
01/10/2016,0.6682945637
01/17/2016,0.8711237079
01/24/2016,0.8166042872
01/31/2016,0.9876741478
02/07/2016,1.3331607559
02/14/2016,1.6799483093
02/21/2016,2.3900076064
02/28/2016,2.6582027376
03/06/2016,2.7345573362
03/13/2016,2.3399835378
03/20/2016,2.1806133457
03/27/2016,1.9909950845
04/03/2016,1.2472272214
04/10/2016,1.4617197172
04/17/2016,1.1265126513
04/24/2016,1.0766525115
05/01/2016,0.8653885967
05/08/2016,0.8876228222
05/15/2016,0.6536216394
05/22/2016,0.5946860167
05/29/2016,0.4704746969
06/05/2016,0.4711616572
06/12/2016,0.3232575285
06/19/2016,0.3572441168
06/26/2016,0.3673412808
07/03/2016,0.3018716039
07/10/2016,0.4013377926
07/17/2016,0.2870229008
07/24/2016,0.2222908305
07/31/2016,0.3093445398
08/07/2016,0.4046626804
08/14/2016,0.3005349522
08/21/2016,0.4349446999
08/28/2016,0.4279179578
09/04/2016,0.3662285004
09/11/2016,0.370058873
09/18/2016,0.857127833
09/25/2016,0.839073911
10/02/2016,0.8414545142000001
10/09/2016,0.9144482829
10/16/2016,1.2400649161
10/23/2016,1.2434281899
10/30/2016,1.6311322708000002
11/06/2016,1.6292134831
11/13/2016,1.6626270358000002
11/20/2016,1.4780058651
11/27/2016,1.0436670285
12/04/2016,1.8530414587
12/11/2016,1.7336829837
12/18/2016,2.1332829904
12/25/2016,2.3498523138
01/01/2017,2.191030469
01/08/2017,2.1586568357
01/15/2017,2.1424383203
01/22/2017,2.3882243149
01/29/2017,3.2072162365
02/05/2017,3.754745634
02/12/2017,4.604401639
02/19/2017,4.3241683499
02/26/2017,3.2509698094
03/05/2017,3.4967051071
03/12/2017,3.3120278908
03/19/2017,3.2834339591000004
03/26/2017,2.7483667493
04/02/2017,1.8709857582
04/09/2017,1.4634993703
04/16/2017,1.3366634291
04/23/2017,1.1599537731
04/30/2017,0.9191092414
05/07/2017,0.9711094926
05/14/2017,1.0733832829
