date,groundtruth
06/16/2013,0.8815426997
06/23/2013,0.0637755102
06/30/2013,1.2325390304
07/07/2013,0.0
07/14/2013,0.0
07/21/2013,1.0819165379
07/28/2013,0.0
08/04/2013,0.7350591243000001
08/11/2013,1.0317460317
08/18/2013,0.8676789587999999
08/25/2013,0.0891530461
09/01/2013,0.907323396
09/08/2013,0.8305647841
09/15/2013,0.4652966266
09/22/2013,1.6685520362
09/29/2013,0.35698348950000003
10/06/2013,0.8673674536
10/13/2013,0.7463135720999999
10/20/2013,0.7346393589
10/27/2013,0.8210662131
11/03/2013,0.8915856603
11/10/2013,0.9905076352
11/17/2013,0.8700102354000001
11/24/2013,1.4593397746
12/01/2013,1.2310819968
12/08/2013,1.4799940503
12/15/2013,2.0932878271
12/22/2013,4.5454545455
12/29/2013,3.9178574808
01/05/2014,2.4758536254
01/12/2014,3.2100639844
01/19/2014,3.1399747793
01/26/2014,2.9009720535000003
02/02/2014,1.7690982194
02/09/2014,2.0671834625
02/16/2014,1.4358008709
02/23/2014,1.4321408983
03/02/2014,1.3120044903
03/09/2014,1.1532649328
03/16/2014,1.0725263227
03/23/2014,0.9013583852
03/30/2014,0.875
04/06/2014,0.9517470882
04/13/2014,1.3046495489
04/20/2014,0.7638231716
04/27/2014,0.9822467986
05/04/2014,1.1423871322
05/11/2014,0.8232445520999999
05/18/2014,1.2098400323
05/25/2014,1.2168543407
06/01/2014,1.4804613531
06/08/2014,1.2835472579
06/15/2014,1.3863025036
06/22/2014,0.994390617
06/29/2014,1.0334346505
07/06/2014,1.1627906977
07/13/2014,1.174398121
07/20/2014,0.91714105
07/27/2014,0.8333333333
08/03/2014,1.1392405063
08/10/2014,0.8062015504000001
08/17/2014,0.8499335989
08/24/2014,0.7019927536
08/31/2014,0.8401155159
09/07/2014,1.0982976387
09/14/2014,0.8575197889
09/21/2014,1.2422360248
09/28/2014,0.5579369939
10/05/2014,0.660578978
10/12/2014,0.4936434947
10/19/2014,0.7892238309999999
10/26/2014,0.923254472
11/02/2014,0.9703163576
11/09/2014,0.955927995
11/16/2014,0.9314887284
11/23/2014,2.0605038869
11/30/2014,1.8106091282
12/07/2014,2.9900530109
12/14/2014,4.5909515548
12/21/2014,8.6516084873
12/28/2014,7.654185022
01/04/2015,3.7901069519
01/11/2015,3.7041679724
01/18/2015,4.6448629006
01/25/2015,3.4791137780000003
02/01/2015,3.275242047
02/08/2015,3.1038961039
02/15/2015,3.2918149466
02/22/2015,3.0409650666
03/01/2015,2.0849700852
03/08/2015,1.8378812199
03/15/2015,1.6448959845
03/22/2015,1.4102224576
03/29/2015,1.3342082240000002
04/05/2015,0.8953784695999999
04/12/2015,0.9861642626
04/19/2015,0.6425758309
04/26/2015,0.7624200689
05/03/2015,0.8962975373000001
05/10/2015,0.7274330431
05/17/2015,0.6015791453
05/24/2015,0.6475349522
05/31/2015,0.5366452009
06/07/2015,0.5409178154
06/14/2015,0.4260395365
06/21/2015,0.448692938
06/28/2015,0.4994054697
07/05/2015,0.5103082261999999
07/12/2015,0.6723716381
07/19/2015,0.6385696041
07/26/2015,0.4603748767
08/02/2015,0.5915215248
08/09/2015,1.069345431
08/16/2015,0.5037115589
08/23/2015,0.9697529439
08/30/2015,0.6510113927000001
09/06/2015,0.3104625893
09/13/2015,0.7651434644
09/20/2015,0.8132214061
09/27/2015,1.1174707005
10/04/2015,0.8359253498999999
10/11/2015,1.2887106319
10/18/2015,1.2404849168
10/25/2015,1.407751938
11/01/2015,1.1766721883
11/08/2015,0.9722056543
11/15/2015,1.1718316117
11/22/2015,1.563151313
11/29/2015,1.5567818763
12/06/2015,1.5371292488
12/13/2015,1.7854257554
12/20/2015,2.7638190955
12/27/2015,2.6292615423
01/03/2016,1.5660446396
01/10/2016,1.7292912041
01/17/2016,1.8599791014
01/24/2016,1.5285084601
01/31/2016,1.6268008548
02/07/2016,2.1611544569
02/14/2016,3.1233295151
02/21/2016,4.193017961000002
02/28/2016,3.9974210187
03/06/2016,3.8359503836
03/13/2016,3.9711465452
03/20/2016,3.4571268148
03/27/2016,3.0393937002
04/03/2016,2.6386474957
04/10/2016,2.2953860422
04/17/2016,2.5603029555
04/24/2016,2.104848246
05/01/2016,1.961143695
05/08/2016,1.4636487243
05/15/2016,1.309686221
05/22/2016,1.3032954757
05/29/2016,1.1625576268
06/05/2016,1.2350098443000002
06/12/2016,1.1020684978
06/19/2016,1.0263634534
06/26/2016,0.7127301523999999
07/03/2016,0.9222333001
07/10/2016,0.6310392428
07/17/2016,0.5172413793
07/24/2016,0.7347254447
07/31/2016,0.8278867101999999
08/07/2016,1.0075026795
08/14/2016,0.7495590829000001
08/21/2016,0.8031301483
08/28/2016,0.9215686275
09/04/2016,1.2268704747
09/11/2016,1.2361388838
09/18/2016,1.4372581537
09/25/2016,1.6801493466
10/02/2016,0.8303273668000001
10/09/2016,0.9219554031
10/16/2016,0.9512044472
10/23/2016,1.0654930801
10/30/2016,0.9492616854
11/06/2016,1.401141671
11/13/2016,1.5795434225
11/20/2016,1.9572634225
11/27/2016,1.6130890656
12/04/2016,1.5333130514
12/11/2016,2.1603350724
12/18/2016,3.0089275873
12/25/2016,3.4112889045
01/01/2017,2.5627569317
01/08/2017,2.1843928894
01/15/2017,2.6628211148
01/22/2017,2.8428203944
01/29/2017,5.1761082095
02/05/2017,5.6424113749
02/12/2017,6.6649642492
02/19/2017,7.5958508403
02/26/2017,5.9688944935000015
03/05/2017,5.2409261577
03/12/2017,3.258106755
03/19/2017,5.455481214600001
03/26/2017,4.0688259108999985
04/02/2017,3.0226043906
04/09/2017,2.4535143893
04/16/2017,1.4430014430000002
04/23/2017,0.9697704372
04/30/2017,0.9090184196
05/07/2017,1.0514495713
05/14/2017,0.9819967267
