date,groundtruth
06/16/2013,0.6140917906000001
06/23/2013,0.6041951664
06/30/2013,0.5428460643999999
07/07/2013,0.6118968803
07/14/2013,0.4376134059
07/21/2013,0.417275193
07/28/2013,0.563115908
08/04/2013,0.5702784301
08/11/2013,0.5713669685
08/18/2013,0.4034638851
08/25/2013,0.3655395863000001
09/01/2013,0.4750815091
09/08/2013,0.6605804201
09/15/2013,0.7271497420999999
09/22/2013,0.6077606358
09/29/2013,0.7543637465
10/06/2013,0.826734979
10/13/2013,0.7111532534999999
10/20/2013,0.794165316
10/27/2013,0.8292739504000001
11/03/2013,0.7738128375
11/10/2013,0.8874622356
11/17/2013,0.7254841685
11/24/2013,1.0191846523
12/01/2013,1.0174959672
12/08/2013,1.2073208244
12/15/2013,1.8372430974
12/22/2013,3.1023368251
12/29/2013,3.2451395995
01/05/2014,2.8361344538
01/12/2014,2.7189351514
01/19/2014,3.0774405112
01/26/2014,2.8304921197
02/02/2014,2.5166479287
02/09/2014,1.9717882603
02/16/2014,1.7891715068
02/23/2014,1.6950315674
03/02/2014,1.4682266575
03/09/2014,1.5927001244
03/16/2014,1.5472506546
03/23/2014,1.7543859649000002
03/30/2014,1.9089132722
04/06/2014,1.5309376993
04/13/2014,1.2253180364
04/20/2014,1.1473585067
04/27/2014,0.9506162894
05/04/2014,1.2479128219
05/11/2014,1.2714492454
05/18/2014,1.2571204086
05/25/2014,1.1338327597
06/01/2014,1.2112403101
06/08/2014,0.914124989
06/15/2014,0.8744453145000001
06/22/2014,0.9385839625
06/29/2014,0.8064516129000001
07/06/2014,0.8764693751
07/13/2014,0.6134969325
07/20/2014,0.9304453935
07/27/2014,1.0135507326
08/03/2014,0.4540420819
08/10/2014,0.7780419278
08/17/2014,0.6932409012
08/24/2014,0.67995957
08/31/2014,0.7770678639
09/07/2014,0.9296714215
09/14/2014,1.262604864
09/21/2014,1.0650303287
09/28/2014,0.9377138946
10/05/2014,1.1936040838
10/12/2014,1.0144838966
10/19/2014,1.1703979353
10/26/2014,1.0830094923
11/02/2014,1.1868745636
11/09/2014,1.2147335423
11/16/2014,1.4314140831
11/23/2014,2.2585383768
11/30/2014,1.7612049071
12/07/2014,2.7521744775
12/14/2014,4.4293015332
12/21/2014,7.0305961127
12/28/2014,6.3413149351
01/04/2015,4.4830079537
01/11/2015,3.7935568705
01/18/2015,5.3233979136
01/25/2015,4.863336475
02/01/2015,4.2072015161000005
02/08/2015,2.8355724646
02/15/2015,2.5856587778
02/22/2015,1.9739980916
03/01/2015,2.719255267
03/08/2015,1.8872758326
03/15/2015,1.7525843774
03/22/2015,1.9206711311
03/29/2015,1.7094666464
04/05/2015,1.6890363444
04/12/2015,1.5900675234
04/19/2015,1.3587721769
04/26/2015,1.4470464872
05/03/2015,1.2791790128
05/10/2015,1.185770751
05/17/2015,1.0733944954
05/24/2015,1.5093904828
05/31/2015,1.0275339186
06/07/2015,1.1245930749
06/14/2015,0.904047668
06/21/2015,0.9120116074
06/28/2015,1.0060592203
07/05/2015,1.1704462326
07/12/2015,0.9197695035
07/19/2015,0.8853288364
07/26/2015,0.7094418362
08/02/2015,0.9232602005
08/09/2015,0.7352941176000001
08/16/2015,0.9292035398
08/23/2015,0.7638888889
08/30/2015,1.0998151571
09/06/2015,0.9288971458
09/13/2015,1.1942796288
09/20/2015,1.1966527197
09/27/2015,1.009009009
10/04/2015,1.3065585377
10/11/2015,1.5074380165
10/18/2015,1.617440225
10/25/2015,1.3520097442
11/01/2015,1.3917963225
11/08/2015,1.5558343788999998
11/15/2015,1.5595555267
11/22/2015,1.9741697417
11/29/2015,1.5645452845
12/06/2015,1.9516217702
12/13/2015,2.218087086
12/20/2015,2.7391822152
12/27/2015,3.0109775222
01/03/2016,2.4317863325
01/10/2016,2.1558499888
01/17/2016,2.2780102278
01/24/2016,2.4707996406
01/31/2016,2.4578252354
02/07/2016,2.3748064017
02/14/2016,2.0291255435
02/21/2016,2.9104923915
02/28/2016,3.3248608917
03/06/2016,4.4683598795
03/13/2016,3.2034692593000003
03/20/2016,3.4131957243
03/27/2016,2.6306201268
04/03/2016,2.1044021416
04/10/2016,2.3056600753
04/17/2016,2.2534796377
04/24/2016,2.267489406
05/01/2016,1.8276539414
05/08/2016,1.6765766644
05/15/2016,1.7224136015
05/22/2016,1.4024152707
05/29/2016,1.5011037528
06/05/2016,1.3191763192
06/12/2016,0.9851705901
06/19/2016,1.1041350942
06/26/2016,1.1025726696
07/03/2016,0.9074642127
07/10/2016,0.8267922554000001
07/17/2016,0.9004292744
07/24/2016,0.917025743
07/31/2016,0.8946439082
08/07/2016,0.9414565523
08/14/2016,0.6854390515000001
08/21/2016,0.6310641319
08/28/2016,1.0045597036
09/04/2016,0.8363201912
09/11/2016,0.6342927295
09/18/2016,0.7712267551
09/25/2016,0.9163720326
10/02/2016,0.9316154609
10/09/2016,0.7439744220000001
10/16/2016,0.9313299392
10/23/2016,0.9276195453
10/30/2016,1.1143288844
11/06/2016,1.1804065143
11/13/2016,1.247735963
11/20/2016,1.3911128903
11/27/2016,1.1263754151
12/04/2016,1.4632430531
12/11/2016,1.8391888705
12/18/2016,1.9406083582
12/25/2016,3.1328847771
01/01/2017,2.9181908879000003
01/08/2017,2.7402517654
01/15/2017,3.3715197216000004
01/22/2017,3.9761727476
01/29/2017,4.1877117831
02/05/2017,5.7864903165
02/12/2017,4.6829922845
02/19/2017,4.0097553977
02/26/2017,2.5715071507
03/05/2017,2.6171637249
03/12/2017,2.8877728414
03/19/2017,2.3575459676
03/26/2017,2.6383196721
04/02/2017,1.8562012274
04/09/2017,1.7347277556
04/16/2017,1.5012182661000002
04/23/2017,1.1857416409
04/30/2017,1.1050548794
05/07/2017,0.8138528139
05/14/2017,1.0195840905
