date,groundtruth
10/04/2009,6.109366823999999
10/11/2009,6.932111142999999
10/18/2009,8.532581661
10/25/2009,8.955901427
11/01/2009,7.449429461
11/08/2009,4.485360282
11/15/2009,3.379319955
11/22/2009,2.2618303109999998
11/29/2009,1.4004149380000002
12/06/2009,1.31424344
12/13/2009,1.748151545
12/20/2009,2.172077673
12/27/2009,1.5115292669999998
01/03/2010,1.339941263
01/10/2010,1.306019274
01/17/2010,1.047588966
01/24/2010,1.10761862
01/31/2010,1.14419018
02/07/2010,0.932099165
02/14/2010,0.884342869
02/21/2010,0.854120708
02/28/2010,0.9978332759999999
03/07/2010,1.1848027540000001
03/14/2010,1.015648066
03/21/2010,0.89688507
03/28/2010,0.92101943
04/04/2010,0.863609291
04/11/2010,0.7461788420000001
04/18/2010,0.782513096
04/25/2010,0.771505722
05/02/2010,0.9553911359999999
05/09/2010,0.888482936
05/16/2010,0.860013624
05/23/2010,0.600653653
05/30/2010,0.868649645
06/06/2010,0.611467522
06/13/2010,0.6192959579999999
06/20/2010,0.534983741
06/27/2010,0.507210343
07/04/2010,0.62061832
07/11/2010,0.450127877
07/18/2010,0.668706789
07/25/2010,0.41762090799999996
08/01/2010,0.6317813489999999
08/08/2010,0.592196935
08/15/2010,0.468360737
08/22/2010,0.40831829799999997
08/29/2010,0.5332888929999999
09/05/2010,0.709219858
09/12/2010,0.7298703320000001
09/19/2010,0.83380101
09/26/2010,0.809574094
10/03/2010,0.7032916354000001
10/10/2010,0.9107256801000001
10/17/2010,0.8810813769
10/24/2010,0.7211799154
10/31/2010,0.9914548642000001
11/07/2010,1.0337659419
11/14/2010,0.9463371187
11/21/2010,1.1084597029
11/28/2010,1.2087789661
12/05/2010,1.2240713940999999
12/12/2010,1.3566830484
12/19/2010,2.0037453184
12/26/2010,2.3851590106000002
01/02/2011,2.1084584461
01/09/2011,2.3239030023
01/16/2011,2.7270468381
01/23/2011,4.0465862499
01/30/2011,4.3726564752999995
02/06/2011,3.7408113258999998
02/13/2011,3.618205632
02/20/2011,3.4045739962
02/27/2011,2.9108150282
03/06/2011,2.76816609
03/13/2011,2.0183373331
03/20/2011,1.5849151162000001
03/27/2011,1.5559239893
04/03/2011,1.6815286624
04/10/2011,1.4155645644
04/17/2011,0.9702850212
04/24/2011,0.976213392
05/01/2011,1.0327400570999998
05/08/2011,0.9968433295
05/15/2011,1.0065021822
05/22/2011,0.8622254493000001
05/29/2011,1.0039954923
06/05/2011,1.0233244215000001
06/12/2011,0.6978691728
06/19/2011,0.8100810081
06/26/2011,0.6240858118
07/03/2011,0.8213963738
07/10/2011,0.5385293254
07/17/2011,0.5991611743999999
07/24/2011,0.5274982905
07/31/2011,0.5194265531000001
08/07/2011,0.6289946231
08/14/2011,0.5757170762
08/21/2011,0.47420965060000003
08/28/2011,0.530273051
09/04/2011,0.6145386917
09/11/2011,0.8154723245000001
09/18/2011,0.9787353893999999
09/25/2011,0.7789194564
10/02/2011,0.7289338128
10/09/2011,0.8198808371999999
10/16/2011,0.8066452201000001
10/23/2011,0.9050214091
10/30/2011,0.9800656549
11/06/2011,1.0482758621
11/13/2011,0.9791027326999999
11/20/2011,1.3216462371
11/27/2011,1.1790274381999999
12/04/2011,1.0065425264
12/11/2011,1.1995501687
12/18/2011,1.6225721365
12/25/2011,2.1062355658
01/01/2012,1.5983928727
01/08/2012,1.5027122122999998
01/15/2012,1.3672539283
01/22/2012,1.2982351182
01/29/2012,1.3323599197
02/05/2012,1.3481862325
02/12/2012,1.29395218
02/19/2012,1.3597468058000002
02/26/2012,1.3139226451000001
03/04/2012,1.2917761923
03/11/2012,1.3499762566999998
03/18/2012,1.2164728222
03/25/2012,1.2838972882
04/01/2012,1.2398086382
04/08/2012,1.1657645869
04/15/2012,1.1278634876
04/22/2012,0.9048113956999999
04/29/2012,0.9398002103
05/06/2012,1.0017352895
05/13/2012,0.9321635595000001
05/20/2012,0.8433315945000001
05/27/2012,0.757161102
06/03/2012,0.6303267045000001
06/10/2012,0.5735960773
06/17/2012,0.7210455159999999
06/24/2012,0.6324364884
07/01/2012,0.5022191077
07/08/2012,0.5141657922
07/15/2012,0.612573885
07/22/2012,0.7588713125
07/29/2012,0.581915846
08/05/2012,0.5054389628
08/12/2012,0.6100942872999999
08/19/2012,0.7381676075
08/26/2012,0.5593322434
09/02/2012,0.6037873937
09/09/2012,0.8552006431999999
09/16/2012,0.7074611626
09/23/2012,0.7741477273
09/30/2012,1.0321767784
10/07/2012,0.8704061895999999
10/14/2012,1.1098722887
10/21/2012,0.9699367851999999
10/28/2012,1.2551561579000001
11/04/2012,1.1634815328
11/11/2012,1.2035289918
11/18/2012,1.4622144112
11/25/2012,1.4268366727000001
12/02/2012,2.0670826833000002
12/09/2012,3.2258064516000005
12/16/2012,4.0958520544
12/23/2012,6.066906066900001
12/30/2012,4.1981462731
01/06/2013,4.3024109311
01/13/2013,4.9632762074
01/20/2013,3.6350591893
01/27/2013,2.7283444675
02/03/2013,2.4906299116999997
02/10/2013,2.9839326701999997
02/17/2013,2.5066883797
02/24/2013,2.5620677928
03/03/2013,2.5754231052
03/10/2013,2.6561427590999998
03/17/2013,2.2371702819
03/24/2013,1.7141533472
03/31/2013,1.5803090693000001
04/07/2013,1.2850886639
04/14/2013,1.0575470402
04/21/2013,0.9153162926
04/28/2013,0.8909000919
05/05/2013,0.8475870495000001
05/12/2013,0.7384772090999999
05/19/2013,0.8855585831
05/26/2013,0.9600357223
06/02/2013,0.7605304212
06/09/2013,0.8458192363
06/16/2013,0.6140917906000001
06/23/2013,0.6041951664
06/30/2013,0.5428460643999999
07/07/2013,0.6118968803
07/14/2013,0.43761340590000003
07/21/2013,0.417275193
07/28/2013,0.563115908
08/04/2013,0.5702784301
08/11/2013,0.5713669685
08/18/2013,0.4034638851
08/25/2013,0.36553958630000005
09/01/2013,0.47508150909999997
09/08/2013,0.6605804201
09/15/2013,0.7271497420999999
09/22/2013,0.6077606358
09/29/2013,0.7543637465
10/06/2013,0.826734979
10/13/2013,0.7111532534999999
10/20/2013,0.794165316
10/27/2013,0.8292739504000001
11/03/2013,0.7738128375
11/10/2013,0.8874622356
11/17/2013,0.7254841685
11/24/2013,1.0191846523
12/01/2013,1.0174959672
12/08/2013,1.2073208244
12/15/2013,1.8372430974
12/22/2013,3.1023368251
12/29/2013,3.2451395995
01/05/2014,2.8361344537999997
01/12/2014,2.7189351513999998
01/19/2014,3.0774405112
01/26/2014,2.8304921197
02/02/2014,2.5166479287
02/09/2014,1.9717882603
02/16/2014,1.7891715068
02/23/2014,1.6950315674
03/02/2014,1.4682266575
03/09/2014,1.5927001244
03/16/2014,1.5472506546
03/23/2014,1.7543859649000002
03/30/2014,1.9089132722
04/06/2014,1.5309376993000001
04/13/2014,1.2253180364
04/20/2014,1.1473585067
04/27/2014,0.9506162894
05/04/2014,1.2479128219
05/11/2014,1.2714492454000001
05/18/2014,1.2571204086
05/25/2014,1.1338327597
06/01/2014,1.2112403101
06/08/2014,0.914124989
06/15/2014,0.8744453145000001
06/22/2014,0.9385839625
06/29/2014,0.8064516129000001
07/06/2014,0.8764693751
07/13/2014,0.6134969325
07/20/2014,0.9304453935
07/27/2014,1.0135507326
08/03/2014,0.45404208189999995
08/10/2014,0.7780419278
08/17/2014,0.6932409012
08/24/2014,0.67995957
08/31/2014,0.7770678639
09/07/2014,0.9296714215
09/14/2014,1.262604864
09/21/2014,1.0650303287
09/28/2014,0.9377138946
10/05/2014,1.1936040838
10/12/2014,1.0144838966
10/19/2014,1.1703979353
10/26/2014,1.0830094923
11/02/2014,1.1868745636
11/09/2014,1.2147335423
11/16/2014,1.4314140831
11/23/2014,2.2585383768000002
11/30/2014,1.7612049071
12/07/2014,2.7521744775
12/14/2014,4.4293015332
12/21/2014,7.0305961127
12/28/2014,6.3413149351
01/04/2015,4.4830079537
01/11/2015,3.7935568705000002
01/18/2015,5.3233979136
01/25/2015,4.863336475
02/01/2015,4.2072015161000005
02/08/2015,2.8355724646
02/15/2015,2.5856587778
02/22/2015,1.9739980916
03/01/2015,2.719255267
03/08/2015,1.8872758325999999
03/15/2015,1.7525843774
03/22/2015,1.9206711311000002
03/29/2015,1.7094666464
04/05/2015,1.6890363444
04/12/2015,1.5900675234000001
04/19/2015,1.3587721769
04/26/2015,1.4470464872
05/03/2015,1.2791790128
05/10/2015,1.185770751
05/17/2015,1.0733944954
05/24/2015,1.5093904828
05/31/2015,1.0275339186
06/07/2015,1.1245930749
06/14/2015,0.9040476679999999
06/21/2015,0.9120116074
06/28/2015,1.0060592203
07/05/2015,1.1704462326
07/12/2015,0.9197695035
07/19/2015,0.8853288364
07/26/2015,0.7094418362
08/02/2015,0.9232602005
08/09/2015,0.7352941176000001
08/16/2015,0.9292035398
08/23/2015,0.7638888889
08/30/2015,1.0998151570999999
09/06/2015,0.9288971457999999
09/13/2015,1.1942796288
09/20/2015,1.1966527197
09/27/2015,1.0090090090000001
10/04/2015,1.3065585377
10/11/2015,1.5074380165
10/18/2015,1.617440225
10/25/2015,1.3520097441999999
11/01/2015,1.3917963225
11/08/2015,1.5558343788999998
11/15/2015,1.5595555266999999
11/22/2015,1.9741697417
11/29/2015,1.5645452844999999
12/06/2015,1.9516217702
12/13/2015,2.218087086
12/20/2015,2.7391822151999996
12/27/2015,3.0109775222
01/03/2016,2.4317863325
01/10/2016,2.1558499888
01/17/2016,2.2780102278
01/24/2016,2.4707996406
01/31/2016,2.4578252354
02/07/2016,2.3748064017
02/14/2016,2.0291255434999997
02/21/2016,2.9104923914999996
02/28/2016,3.3248608917
03/06/2016,4.4683598794999995
03/13/2016,3.2034692593000003
03/20/2016,3.4131957243
03/27/2016,2.6306201268000002
04/03/2016,2.1044021416
04/10/2016,2.3056600753
04/17/2016,2.2534796377
04/24/2016,2.267489406
05/01/2016,1.8276539414
05/08/2016,1.6765766644
05/15/2016,1.7224136015
05/22/2016,1.4024152707
05/29/2016,1.5011037528
06/05/2016,1.3191763192000001
06/12/2016,0.9851705901000001
06/19/2016,1.1041350942000001
06/26/2016,1.1025726696
07/03/2016,0.9074642127
07/10/2016,0.8267922554000001
07/17/2016,0.9004292744
07/24/2016,0.917025743
07/31/2016,0.8946439082
08/07/2016,0.9414565523
08/14/2016,0.6854390515000001
08/21/2016,0.6310641319
08/28/2016,1.0045597036
09/04/2016,0.8363201912
09/11/2016,0.6342927295
09/18/2016,0.7712267551
09/25/2016,0.9163720326000001
10/02/2016,0.9316154609
10/09/2016,0.7439744220000001
10/16/2016,0.9313299392000001
10/23/2016,0.9276195453
10/30/2016,1.1143288843999999
11/06/2016,1.1804065143
11/13/2016,1.247735963
11/20/2016,1.3911128903
11/27/2016,1.1263754151
12/04/2016,1.4632430531
12/11/2016,1.8391888705000001
12/18/2016,1.9406083582
12/25/2016,3.1328847770999997
01/01/2017,2.9181908879000003
01/08/2017,2.7402517654
01/15/2017,3.3715197216000004
01/22/2017,3.9761727475999997
01/29/2017,4.1877117831
02/05/2017,5.7864903165
02/12/2017,4.6829922845
02/19/2017,4.0097553977
02/26/2017,2.5715071507
03/05/2017,2.6171637249
03/12/2017,2.8877728414
03/19/2017,2.3575459676
03/26/2017,2.6383196721
04/02/2017,1.8562012274000002
04/09/2017,1.7347277556
04/16/2017,1.5012182661000002
04/23/2017,1.1857416409000001
04/30/2017,1.1050548794
05/07/2017,0.8138528139
05/14/2017,1.0195840905
